Country Code,Gdp-CO2,Ginindex-CO2,Ginindex-Lawindex,Politicalstab-Lawindex
AGO,0.263,0.083,0.918,-0.51
ALB,-0.042,0.265,0.078,0.792
ARE,-0.37,0.213,-0.873,-0.807
ARG,0.691,-0.881,-0.468,0.518
ARM,0.277,-0.634,-0.259,-0.746
AUS,0.409,0.557,-0.062,0.337
AUT,-0.117,-0.375,0.037,0.617
AZE,-0.251,0.287,0.293,-0.032
BDI,-0.198,0.76,-0.58,0.444
BEL,-0.135,0.828,-0.06,0.175
BEN,-0.06,-0.241,0.212,0.623
BFA,-0.09,0.226,-0.185,0.354
BGD,-0.071,-0.719,-0.717,0.784
BGR,-0.098,-0.714,-0.053,0.536
BIH,0.36,-0.85,-0.698,0.209
BLR,0.788,0.058,-0.422,0.161
BOL,0.318,-0.905,0.904,-0.511
BRA,0.507,-0.75,-0.515,0.351
BTN,0.271,-0.551,-0.77,0.132
BWA,-0.143,-0.802,0.757,0.116
CAF,0.44,-0.719,0.747,0.408
CAN,0.11,0.193,0.582,0.59
CHE,0.19,0.011,-0.106,0.373
CHL,0.23,-0.93,0.416,0.617
CHN,-0.153,-0.672,-0.789,0.329
CIV,0.034,-0.854,-0.789,0.933
CMR,-0.017,0.858,0.418,-0.012
COD,0.02,-0.608,0.255,-0.465
COG,-0.05,0.673,0.86,0.79
COL,0.158,-0.842,-0.466,0.611
COM,-0.198,-0.694,0.255,-0.018
CPV,0.137,-0.682,0.568,-0.534
CRI,0.394,-0.37,0.262,0.021
CYP,0.319,-0.594,0.205,0.448
CZE,0.109,0.542,-0.656,0.243
DEU,-0.011,-0.67,-0.291,0.617
DJI,-0.65,0.755,0.54,0.696
DNK,0.056,-0.786,-0.271,0.326
DOM,0.113,-0.755,-0.833,0.532
DZA,-0.178,,,-0.128
ECU,0.654,-0.895,-0.271,0.485
EGY,-0.093,-0.065,0.413,0.906
ESP,0.097,-0.646,-0.505,-0.795
EST,-0.032,0.469,-0.584,-0.119
ETH,0.107,0.863,0.798,0.104
FIN,-0.005,0.769,-0.7,-0.587
FJI,0.654,-0.408,-0.624,0.801
FRA,0.079,0.049,0.426,0.153
FSM,-0.143,-0.209,0.793,0.312
GAB,-0.042,-0.002,0.426,0.612
GBR,0.156,0.839,0.32,0.06
GEO,-0.025,-0.45,-0.206,0.898
GHA,0.057,0.801,-0.006,-0.308
GIN,0.219,-0.837,-0.263,0.712
GMB,0,-0.893,0.597,0.69
GNB,-0.003,-0.455,-0.145,0.2
GRC,0.179,-0.014,-0.11,0.643
GTM,0.013,-0.8,-0.131,-0.459
HND,-0.102,-0.722,0.611,0.122
HRV,0.191,0.73,-0.824,0.495
HTI,-0.311,,,0.33
HUN,0.244,-0.139,-0.309,0.369
IDN,0.078,0.686,0.685,0.864
IND,-0.045,-0.02,-0.263,-0.034
IRL,0.278,0.529,0.422,0.096
IRN,0.167,-0.583,-0.029,0.148
IRQ,0.145,0.869,0.24,0.541
ISL,0.068,0.678,0.558,0.389
ISR,-0.462,0.53,-0.567,0.454
ITA,0.047,-0.716,-0.4,0.134
JAM,0.068,0.316,-0.265,0.814
JOR,0.507,-0.581,-0.291,-0.261
JPN,0.122,-0.099,-0.163,0.671
KAZ,0.685,-0.706,-0.705,-0.542
KEN,-0.16,-0.957,-0.842,0.558
KGZ,0.126,-0.702,-0.316,0.191
KIR,-0.351,-0.179,-0.251,0.163
KOR,0.194,-0.674,-0.471,0.456
LAO,0.151,0.898,0.812,0.847
LBN,0.938,,,-0.696
LBR,0.365,-0.337,-0.702,0.143
LCA,0.42,,,-0.488
LKA,0.077,-0.197,0.636,-0.176
LSO,0.562,-0.595,0.757,0.311
LTU,0.427,-0.59,0.335,0.018
LUX,0.281,-0.584,-0.456,0.345
LVA,0.282,0.324,-0.575,-0.466
MAR,0.065,-0.897,-0.561,0.664
MDA,-0.009,-0.482,-0.342,-0.039
MDG,0.088,0.731,-0.908,0.659
MDV,0.222,-0.952,0.504,0.519
MEX,0.51,0.219,0.788,0.562
MHL,-0.125,,,-0.779
MKD,0.184,0.811,-0.333,0.739
MLI,-0.026,0.144,-0.03,0.962
MLT,0.14,-0.482,-0.67,0.741
MMR,0.335,-0.967,0.099,0.928
MNE,0.157,-0.598,0.09,0.159
MNG,0.091,-0.618,0.002,0.698
MOZ,-0.189,0.764,-0.625,0.958
MRT,-0.108,-0.804,-0.104,0.4
MUS,0.635,0.272,0.536,-0.133
MWI,0.017,-0.62,0.163,0.62
MYS,0.171,-0.938,-0.403,0.243
NAM,0.176,-0.978,-0.61,0.028
NER,0.003,-0.33,-0.306,-0.303
NGA,-0.051,-0.446,-0.83,-0.375
NIC,0.51,0.057,0.023,0.653
NLD,-0.157,0.78,0.245,0.572
NOR,0.191,-0.397,0.098,0.301
NPL,0.11,-0.623,-0.057,0.563
NRU,-0.486,,,0.383
PAK,0.174,-0.178,-0.248,0.178
PAN,0.101,-0.902,0.07,0.09
PER,0.415,-0.9,-0.533,0.557
PHL,-0.057,-0.955,0.418,0.095
PNG,-0.145,,,0.174
POL,0.08,0.485,0.175,0.814
PRT,-0.064,0.733,0.256,0.628
PRY,-0.073,-0.837,-0.897,0.857
ROU,0.242,0.787,-0.789,0.355
RUS,0.495,0.278,-0.13,0.226
RWA,-0.225,-0.824,-0.983,0.914
SDN,0.205,-0.749,-0.614,0.777
SEN,-0.125,-0.793,-0.259,0.294
SLB,0.681,0.104,-0.746,0.598
SLE,0.337,-0.59,-0.835,0.784
SLV,0.002,-0.151,0.67,0.323
SRB,-0.238,-0.476,-0.25,0.495
SSD,-0.239,,,0.874
STP,-0.179,0.959,0.124,0.401
SVK,-0.017,0.588,-0.454,-0.473
SVN,0.278,-0.023,-0.013,-0.49
SWE,-0.053,-0.915,-0.153,0.181
SWZ,-0.478,0.766,0.257,-0.29
SYC,0.188,-0.983,-0.363,-0.025
SYR,0.489,,,0.852
TCD,0.107,-0.592,-0.552,0.522
TGO,0.146,0.242,-0.662,-0.671
THA,0.228,-0.906,0.071,0.93
TJK,-0.329,0.736,0.128,-0.3
TLS,-0.354,0.89,0.243,0.377
TON,-0.06,-0.144,-0.547,0.521
TUN,0.257,-0.938,0.08,0.277
TUR,0.04,0.295,-0.504,0.634
TUV,0.319,,,0.076
TZA,0.031,0.568,-0.135,-0.067
UGA,-0.041,-0.531,-0.566,0.814
UKR,0.265,0.499,0.092,0.098
URY,0.341,-0.018,0.072,0.07
USA,0.011,0.313,0.513,0.761
UZB,-0.456,-0.332,0.288,0.694
VEN,0.689,0.029,0.684,0.085
VNM,0.126,-0.054,-0.347,-0.41
VUT,-0.011,-0.262,-0.234,0.001
WSM,0.238,-0.766,0.166,0.64
YEM,0.366,-0.587,-0.728,0.672
ZAF,0.303,-0.63,0.246,0.258
ZMB,-0.166,0.585,-0.13,0.079
ZWE,0.28,-0.831,0.719,-0.07
